name,row,anio,entidad_universitaria,anexo_1,anexo_2,anexo_3,anexo_4,anexo_5,anexo_6,anexo_7,anexo_8,anexo_9,anexo_10,anexo_11,anexo_12,anexo_13,anexo_14,anexo_15,anexo_16,anexo_17,anexo_18,anexo_19
Anexo 2024 - 103 - CUCOSTASUR,103,2024,CUCOSTASUR,3985,156,200,1,15,1,7,2,,35332,69385,69,37291.91,274993170.00,824,858,2,84,
Anexo 2025 - 104 - CUCOSTASUR,104,2025,CUCOSTASUR,4224,155,194,1,15,1,7,2,,35730,68487,69,37291.91,288737802.00,933,684,2,84,
Anexo 1994 - 105 - CUSUR,105,1994,CUSUR,858,13,110,,7,,2,,,1590,2921,27,4626.00,7928550.00,,,1,0,
Anexo 2019 - 106 - CUSUR,106,2019,CUSUR,8162,137,451,,17,,7,2,1,34329,100547,90,43627.11,260941237.00,565,1105,1,41,
Anexo 2020 - 107 - CUSUR,107,2020,CUSUR,8184,140,430,,18,,6,2,1,35007,104355,90,44239.40,273724043.00,1040,759,1,46,
Anexo 2021 - 108 - CUSUR,108,2021,CUSUR,7869,134,413,,19,3,6,2,1,35497,105032,90,44301.88,271429108.00,1167,915,1,45,
Anexo 2022 - 109 - CUSUR,109,2022,CUSUR,7686,132,400,,19,3,6,2,1,37778,109924,90,44645.30,276829067.00,1195,1036,1,52,
Anexo 2023 - 110 - CUSUR,110,2023,CUSUR,7412,134,382,,19,3,8,4,1,37681,109506,90,40354.48,286927110.00,1562,868,1,66,
Anexo 2024 - 111 - CUSUR,111,2024,CUSUR,7598,129,365,,19,3,9,4,1,38390,111168,91,41931.47,310365477.00,1377,1550,1,75,
Anexo 2025 - 112 - CUSUR,112,2025,CUSUR,7886,135,364,,19,3,10,4,1,37870,106554,91,43072.24,318533630.00,1396,1306,1,85,
Anexo 2020 - 113 - CUTLAJOMULCO,113,2020,CUTLAJOMULCO,501,0,17,,6,,,,,,,37,8386.00,0.00,,,1,0,
Anexo 2021 - 114 - CUTLAJOMULCO,114,2021,CUTLAJOMULCO,1067,5,41,,12,,,,,,,37,9453.00,0.00,,,1,1,
Anexo 2022 - 115 - CUTLAJOMULCO,115,2022,CUTLAJOMULCO,1940,11,79,,13,,,,,4528,7537,37,11797.80,24639823.00,,,1,12,
Anexo 2023 - 116 - CUTLAJOMULCO,116,2023,CUTLAJOMULCO,2747,19,98,,14,,,,,9455,15127,66,14109.80,63497297.00,,,1,18,
Anexo 2024 - 117 - CUTLAJOMULCO,117,2024,CUTLAJOMULCO,3441,42,126,,15,,,,,10130,16712,94,17026.80,89284315.00,85,3,1,25,
Anexo 2025 - 118 - CUTLAJOMULCO,118,2025,CUTLAJOMULCO,4632,60,146,,16,,,,,7638,13839,93,20968.80,109126094.00,265,138,1,30,
Anexo 1994 - 119 - CUCIÉNEGA,119,1994,CUCIÉNEGA,1820,19,158,,2,,,,,7250,14068,48,8089.40,849500.00,,,1,0,
Anexo 2019 - 120 - CUCIÉNEGA,120,2019,CUCIÉNEGA,5949,175,313,,15,,4,2,,53371,128270,133,108735.97,243050126.00,593,526,3,53,
Anexo 2020 - 121 - CUCIÉNEGA,121,2020,CUCIÉNEGA,6221,175,317,,16,,7,2,,54951,131711,137,108905.97,246133426.00,1163,350,3,57,
Anexo 2021 - 122 - CUCIÉNEGA,122,2021,CUCIÉNEGA,6069,173,278,,17,,5,2,,57376,139610,137,110092.47,254169022.00,807,865,3,58,
Anexo 2022 - 123 - CUCIÉNEGA,123,2022,CUCIÉNEGA,5824,171,279,,17,,7,2,,59240,143833,138,75073.00,257195372.00,728,796,3,63,
Anexo 2023 - 124 - CUCIÉNEGA,124,2023,CUCIÉNEGA,5897,170,268,,18,,8,2,,57213,144098,138,75073.00,270207871.00,949,730,3,74,
Anexo 2024 - 125 - CUCIÉNEGA,125,2024,CUCIÉNEGA,6041,166,283,,19,,7,2,,53199,138683,143,53944.01,286886146.00,1683,787,3,76,
Anexo 2025 - 126 - CUCIÉNEGA,126,2025,CUCIÉNEGA,6054,171,277,,19,,9,2,,58463,144077,143,54699.37,306309724.00,1245,1313,3,87,
Anexo 1994 - 127 - CUCOSTA,127,1994,CUCOSTA,602,13,59,,4,,,,,1469,4287,26,5481.00,884940.00,,,1,0,
Anexo 2019 - 128 - CUCOSTA,128,2019,CUCOSTA,6630,138,379,,20,,4,3,,42734,93815,134,62948.35,238697648.00,1588,545,2,52,
Anexo 2020 - 129 - CUCOSTA,129,2020,CUCOSTA,7051,143,391,,20,,5,3,,43627,95216,137,63791.93,240916057.00,1763,344,2,48,
Anexo 2021 - 130 - CUCOSTA,130,2021,CUCOSTA,7310,139,373,,20,,4,3,,43598,97710,137,63805.73,247050880.00,1185,627,2,48,
Anexo 2022 - 131 - CUCOSTA,131,2022,CUCOSTA,7077,133,364,,20,2,4,3,,44938,104474,152,83082.10,262130512.00,824,632,2,60,
Anexo 2023 - 132 - CUCOSTA,132,2023,CUCOSTA,7270,133,359,,20,2,5,3,,42854,107008,155,105977.22,268809227.00,1731,575,2,74,
Anexo 2024 - 133 - CUCOSTA,133,2024,CUCOSTA,7098,130,359,,20,5,5,3,,43437,110600,154,106984.12,296803748.00,1400,875,2,77,
Anexo 2025 - 134 - CUCOSTA,134,2025,CUCOSTA,7245,145,366,,20,5,5,3,,47206,114742,154,106984.12,311127502.00,1496,1103,2,88,
Anexo 2024 - 135 - CUGUADALAJARA,135,2024,CUGUADALAJARA,3446,99,302,,11,,7,2,,,,101,27128.00,1000000.00,511,294,1,35,
Anexo 2025 - 136 - CUGUADALAJARA,136,2025,CUGUADALAJARA,3926,118,178,,11,,7,2,,439,,97,27128.00,214103628.00,286,353,1,51,
Anexo 2025 - 140 - CUTLAQUEPAQUE,140,2025,CUTLAQUEPAQUE,1388,18,40,,5,,,,,2258,3777,15,1763.12,9756461.00,0,0,1,7,
Anexo 2025 - 144 - CUCHAPALA,144,2025,CUCHAPALA,372,4,26,,8,,,,,249,1226,0,0.00,7006671.00,0,0,1,0,
Anexo 2004 - 145 - SUV,145,2004,SUV,1172,12,96,,1,,,,,1400,2000,1,700.00,26459696.85,,,1,0,
Anexo 2019 - 146 - SUV,146,2019,SUV,3945,99,323,,10,,8,2,1,8621,13005,1,4235.27,202296347.00,637,288,1,18,
Anexo 2020 - 147 - SUV,147,2020,SUV,4569,101,337,,10,,8,2,1,8777,13328,1,4235.27,214078924.00,603,118,1,19,
Anexo 2021 - 148 - SUV,148,2021,SUV,5317,103,347,,10,,8,2,1,9460,14233,0,4235.27,210045516.00,392,408,1,20,
Anexo 2022 - 149 - SUV,149,2022,SUV,5631,107,312,,9,,8,2,1,10139,14400,0,5933.63,252724292.00,978,450,1,22,
Anexo 2023 - 150 - SUV,150,2023,SUV,5708,104,298,,9,,8,2,1,10299,14580,0,360.00,253443612.00,691,270,1,32,
Anexo 2024 - 151 - SUV,151,2024,SUV,,,,,,,,,,10299,14580,,,247469301.00,,,,,
