row,clave_carrera,nombre_carrera_911,nivel_educativo,campo_clasificacion,modalidad
566,6041300010,Esp. en Mercados Financieros Internacionales,Especialidad,"Finanzas, banca y seguros",Escolarizada
567,6041400003,Esp. en Análisis de Impuestos,Especialidad,Contabilidad y fiscalización,Escolarizada
568,6041400010,Esp. en Impuestos,Especialidad,Contabilidad y fiscalización,Escolarizada
569,7011400009,Mtría. en Tecnología para el Aprendizaje,Maestría,Tecnología y comunicación educativa,Escolarizada
570,7041400011,Mtría. en Auditoria Integral,Maestría,Contabilidad y fiscalización,Escolarizada
571,4051300001,TSU en Administración de Recursos Naturales,T�cnico Superior Universitario,Ecología y ciencias ambientales,Escolarizada
572,4071600004,TSU en Control de Plagas Urbanas,T�cnico Superior Universitario,Tecnología para la protección del medio ambiente,Escolarizada
573,6041100002,Esp. en Agronegocios,Especialidad,Negocios y comercio,Escolarizada
574,7041100009,Mtría. en Agronegocios,Maestría,Negocios y comercio,Escolarizada
575,8081100016,Doc. en Ciencias Pecuarias,Doctorado,Producción y explotación agrícola y ganadera,Escolarizada
576,4021200007,TSU en Artes Escénicas para la Expresión Dancística,T�cnico Superior Universitario,Artes escénicas,Escolarizada
577,5012602027,Lic. en Música Con Orientación en Pedagogía Musical,Licenciatura,Formación docente en la enseñanza de asignaturas específicas,Escolarizada
578,5021100005,Lic. en Artes Visuales Expresión Plástica,Licenciatura,Bellas artes,Escolarizada
579,5021100020,Lic. en Artes Visuales Expresión Fotográfica,Licenciatura,Bellas artes,Escolarizada
580,5021200007,Lic. en Artes Escénicas Expresión Dancística,Licenciatura,Artes escénicas,Escolarizada
581,5021200008,Lic. en Artes Escénicas Expresión Teatral,Licenciatura,Artes escénicas,Escolarizada
582,5021300070,Lic. en Música Con Orientación en Canto,Licenciatura,Música,Escolarizada
583,5021300071,Lic. en Música Con Orientación en Composición,Licenciatura,Música,Escolarizada
584,5021300072,Lic. en Música Con Orientación en Concertista Solista,Licenciatura,Música,Escolarizada
585,5021300073,Lic. en Música Con Orientación en Dirección Coral,Licenciatura,Música,Escolarizada
586,7021000001,Mtría. en Artes,Maestría,Planes multidisciplinarios o generales del campo de artes,Escolarizada
587,7021300001,Mtría. en Ciencias Musicales Esp. en Etnomusicología,Maestría,Música,Escolarizada
588,7021300018,Mtría. en Ciencias Musicales en el Área de Etnomusicología,Maestría,Música,Escolarizada
589,7021600021,Mtría. en Desarrollo de Productos,Maestría,"Diseño industrial, de moda e interiores",Escolarizada
590,7022300036,Mtría. en Estudios en Literacidad,Maestría,Literatura,Escolarizada
591,7073100004,Mtría. en Historia de la Arquitectura Mexicana,Maestría,Arquitectura y urbanismo,Escolarizada
592,7073100039,Mtría. en Investigación Arquitectónica,Maestría,Arquitectura y urbanismo,Escolarizada
593,4061300005,TSU en Sistemas de Información,T�cnico Superior Universitario,Desarrollo de software,Escolarizada
594,5042100055,Lic. en Administración de Empresas,Licenciatura,Administración de empresas,Escolarizada
595,4021500002,TSU en Diseño Grafico,T�cnico Superior Universitario,Diseño y comunicación gráfica y editorial,Escolarizada
596,4021500005,TSU en Multimedia,T�cnico Superior Universitario,Diseño y comunicación gráfica y editorial,Escolarizada
597,8042200001,Doc. en Desarrollo Sustentable y Turismo,Doctorado,Administración turísticas y de restaurantes,Escolarizada
598,8042200005,Doc. en Ciencias para el Desarrollo,Doctorado,Administración turísticas y de restaurantes,Escolarizada
599,7052200016,Mtría. en Ciencia E Ingeniería de Materiales,Maestría,Química,Escolarizada
600,8072300004,Doc. en Ciencia E Ingeniería de Materiales,Doctorado,"Industrias de materiales diversos (cerámica, madera, plástico y vidrio)",Escolarizada
601,5071300013,Ing. Mecánico y Electricista,Licenciatura,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
602,5093100001,Cirujano Dentista,Licenciatura,Estomatología y odontología general,Escolarizada
603,6042100014,Esp. en Administración de Negocios,Especialidad,Administración de empresas,Escolarizada
604,7012604003,Mtría. en Enseñanza de Las Ciencias,Maestría,Formación docente en la enseñanza de asignaturas específicas,Escolarizada
605,4101600010,TSU en Servicios Turísticos,T�cnico Superior Universitario,Hospitalidad y turismo,Escolarizada
606,5101100016,"Lic. en Cultura, Física y Deporte",Licenciatura,Deportes,Escolarizada
607,6091309001,Esp. en Cirugía Plástica,Especialidad,Medicina de especialidad,Escolarizada
608,6091310005,Esp. en Dermatología Medico Quirúrgica,Especialidad,Medicina de especialidad,Escolarizada
609,6091317003,Esp. en Hematología Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
610,6091317009,Esp. en Hemato-Oncologia Pediátrica,Especialidad,Medicina de especialidad,Escolarizada
611,6091319003,Esp. en Alergias E Inmunología Clínica,Especialidad,Medicina de especialidad,Escolarizada
612,6091323004,Esp. en Urgencias Pediátricas,Especialidad,Medicina de especialidad,Escolarizada
613,6091328002,Esp. en Medicina Legal,Especialidad,Medicina de especialidad,Escolarizada
614,6091336008,Esp. en Oncología Quirúrgica,Especialidad,Medicina de especialidad,Escolarizada
615,6091340002,Esp. en Pediatría Medica,Especialidad,Medicina de especialidad,Escolarizada
616,6091342002,Esp. en Endoscopia Ginecológica,Especialidad,Medicina de especialidad,Escolarizada
617,6092204002,Esp. en Enfermería en Salud Publica,Especialidad,Enfermería de especialidad,Escolarizada
618,6093207002,Esp. en Patología y Medicina Bucal,Especialidad,Estomatología y odontología de especialidad,Escolarizada
619,7031100023,Mtría. en Orientación Psicológica,Maestría,Psicología,Escolarizada
620,7031100037,Mtría. en Psicología Con Orientación en Neuropsicología,Maestría,Psicología,Escolarizada
621,7031100038,Mtría. en Psicología Con Orientación en Psicología de la Salud,Maestría,Psicología,Escolarizada
622,7031100039,Mtría. en Psicología Con Orientación en Psicología Educativa,Maestría,Psicología,Escolarizada
623,7031100040,Mtría. en Psicología Con Orientación en Psicología Organizacional,Maestría,Psicología,Escolarizada
624,7031100041,Mtría. en Psicología Con Orientación en Psicología Social,Maestría,Psicología,Escolarizada
625,7031100091,Mtría. en Psicoterapia Psicoanalítica Grupal,Maestría,Psicología,Escolarizada
626,7031500023,Mtría. en Gerontología Social,Maestría,Trabajo y atención social,Escolarizada
627,7051100013,Mtría. en Genética Humana,Maestría,Biología,Escolarizada
628,7091316001,Mtría. en Ginecología,Maestría,Medicina de especialidad,Escolarizada
629,8051200002,Doc. en Biología Molecular en Medicina,Doctorado,Bioquímica y biofísica,Escolarizada
630,8091316001,Doc. en Ginecología,Doctorado,Medicina de especialidad,Escolarizada
631,8095200007,Doc. en Ciencias Biomédicas Inmunología,Doctorado,Biomedicina,Escolarizada
632,8095600008,Doc. en Ciencias Sociomedicas,Doctorado,Salud pública,Escolarizada
633,2021300033,P.M. Técnico en Música,Profesional Medio,Ciencias de la educación,No Escolarizada
634,2092100004,P.M. Carrera de Enfermería,Profesional Medio,Negocios y comercio,Escolarizada
635,3081100019,Bachillerato Intercultural Tecnológico Con Orientación en Agropecuario y Forestal,Bachillerato Tecnol�gico,Producción y explotación agrícola y ganadera,Escolarizada
636,3021600008,Bachillerato Intercultural Tecnológico Con Orientación en Diseño y Confección de Prendas de Vestir y Artesanías,Bachillerato Tecnol�gico,"Diseño industrial, de moda e interiores",Escolarizada
637,3073200001,Bachillerato Tecnológico en Diseño y Construcción,Bachillerato Tecnol�gico,Construcción e ingeniería civil,Escolarizada
638,3071700002,Bachillerato Tecnológico Químico en Control de Calidad y Medio Ambiente,Bachillerato Tecnol�gico,Ingeniería industrial,Escolarizada
639,2071200002,P.M. Tecnólogo Profesional en Electricidad Industrial,Profesional Medio,Electricidad y generación de energía,Escolarizada
640,2071100002,P.M. Tecnólogo Profesional en Mecánica Industrial,Profesional Medio,Mecánica y profesiones afines al trabajo metálico,Escolarizada
641,2072400003,P.M. Tecnólogo Profesional en Metalurgia y Fundición,Profesional Medio,"Industria de la minería, extracción y metalurgia",Escolarizada
642,2072300001,P.M. Tecnólogo Profesional en Plásticos,Profesional Medio,"Industrias de materiales diversos (cerámica, madera, plástico y vidrio)",Escolarizada
643,2071400003,P.M. Tecnólogo Profesional en Procesos Químicos Industriales,Profesional Medio,Ingeniería de procesos químicos,Escolarizada
644,2062200013,P.M. Tecnólogo Profesional en Sistemas Informáticos,Profesional Medio,Informática,Escolarizada
645,2072100002,P.M. Tecnólogo Profesional Químico en Análisis y Procesos de Alimentos,Profesional Medio,Industria de la alimentación,Escolarizada
646,3042000001,Bachillerato Tecnológico en Administración,Bachillerato Tecnol�gico,Planes multidisciplinarios o generales del campo de administración y gestión,Escolarizada
647,3041100005,Bachillerato Tecnológico en Gestión Aduanal y Operaciones Empresariales,Bachillerato Tecnol�gico,Negocios y comercio,Escolarizada
648,2051200001,P.M. Tecnólogo Profesional en Biotecnología,Profesional Medio,Bioquímica y biofísica,Escolarizada
649,2071200011,P.M. Tecnólogo Profesional en Energías Alternas,Profesional Medio,Electricidad y generación de energía,Escolarizada
650,2062200007,P.M. Tecnólogo Profesional en Informática,Profesional Medio,Informática,Escolarizada
651,2072000001,P.M. Tecnólogo Profesional en Procesos de Manufactura Competitiva,Profesional Medio,Planes multidisciplinarios o generales del campo de manufacturas y procesos.,Escolarizada
652,2062100003,P.M. Tecnólogo Profesional en Telecomunicaciones,Profesional Medio,Telecomunicaciones,Escolarizada
653,3021700001,Bachillerato Técnico en Cerámica,Bachillerato Tecnol�gico,Artesanía tradicional y manualidades,Escolarizada
654,3042100001,Bachillerato Tecnológico en Administración de Pequeños y Medianos Negocios,Bachillerato Tecnol�gico,Administración de empresas,Escolarizada
655,3095300007,Bachillerato Tecnológico en Citología E Histología,Bachillerato Tecnol�gico,Diagnóstico médico y tecnología del tratamiento,Escolarizada
656,3093100005,Bachillerato Tecnológico en Prótesis Dental,Bachillerato Tecnol�gico,Estomatología y odontología general,Escolarizada
657,3061300004,Bachillerato Técnico en Desarrollo de Software,Bachillerato Tecnol�gico,Desarrollo de software,Escolarizada
658,3073200001,Bachillerato Técnico en Diseño Industrial,Bachillerato Tecnol�gico,Construcción e ingeniería civil,Escolarizada
659,3101600003,Bachillerato Tecnológico en Turismo,Bachillerato Tecnol�gico,Hospitalidad y turismo,Escolarizada
660,3042100026,Bachillerato Tecnológico en Administración de Pequeños y Medianos Negocios,Bachillerato Tecnol�gico,Administración de empresas,Escolarizada
661,3081100003,Bachillerato Tecnológico Agropecuario,Bachillerato Tecnol�gico,Producción y explotación agrícola y ganadera,Escolarizada
662,2092100004,P.M. Bachillerato Tecnológico en Enfermería,Profesional Medio,Enfermería general y obstetricia,Escolarizada
663,2071400001,P.M. Tecnólogo Profesional Químico Industrial,Profesional Medio,Ingeniería de procesos químicos,Escolarizada
664,2072400001,P.M. en Metalurgia,Profesional Medio,"Industria de la minería, extracción y metalurgia",Escolarizada
665,2072400002,P.M. en Fundición,Profesional Medio,"Industria de la minería, extracción y metalurgia",Escolarizada
666,2101500001,P.M. en Alimentos,Profesional Medio,Gastronomía y servicios de alimentos,Escolarizada
667,2081100001,P.M. Agropecuario,Profesional Medio,Producción y explotación agrícola y ganadera,Escolarizada
668,3021600010,Bachillerato Intercultural Tecnológico en Diseño y Confección de prendas de vestir y Artesanias,Bachillerato Tecnol�gico,"Diseño industrial, de moda e interiores",Escolarizada
669,3081100024,Bachillerato Intercultural Tecnológico Agropecuario y Forestal,Bachillerato Tecnol�gico,Producción y explotación agrícola y ganadera,Escolarizada
670,4021500005,TSU en Multimedia,T�cnico Superior Universitario,Diseño y comunicación gráfica y editorial,Escolarizada
671,4062100001,TSU en Administración de Redes de Cómputo,T�cnico Superior Universitario,Telecomunicaciones,Escolarizada
672,4062100004,TSU en Redes y Telecomunicaciones,T�cnico Superior Universitario,Telecomunicaciones,Escolarizada
673,4071300015,TSU en Electrónica,T�cnico Superior Universitario,"Electrónica, automatización y aplicaciones de la mecánica-eléctrica",Escolarizada
674,4101600010,TSU en Servicios Turísticos,T�cnico Superior Universitario,Hospitalidad y turismo,Escolarizada
675,4101600012,TSU en Turismo Alternativo,T�cnico Superior Universitario,Hospitalidad y turismo,Escolarizada
676,5011100022,Lic. en Educación Indígena,Licenciatura,Diseño curricular y pedagogía,Escolarizada
677,5031300044,Lic. en Construcción de la Paz y Seguridad,Licenciatura,Ciencias políticas,Escolarizada
678,5103100017,"Lic. en Seguridad Laboral, Protección Civil y Emergencias",Licenciatura,Seguridad para el trabajo,Escolarizada
679,6041100014,Esp. en Valuación,Especialidad,Negocios y comercio,Escolarizada
680,6081100005,Esp. en Producción Porcina,Especialidad,Producción y explotación agrícola y ganadera,Escolarizada
681,6091317003,Esp. en Hematologia Pediatrica,Especialidad,Medicina de especialidad,Escolarizada
682,6091317009,Esp. en Hemato-Oncologia Pediatrica,Especialidad,Medicina de especialidad,Escolarizada
683,7011200037,Mtría. en Planeación de la Educación Superior,Maestría,"Planeación, evaluación e investigación educativa",Escolarizada
684,7011500003,Mtría. en Educación,Maestría,Ciencias de la educación,Escolarizada
685,7012602002,Mtría. en Didáctica de las Artes,Maestría,Formación docente en la enseñanza de asignaturas específicas,Escolarizada
686,7021600021,Mtría. en Desarrollo de Productos,Maestría,"Diseño industrial, de moda e interiores",Escolarizada
687,7022300034,Mtría. en Literaturas Interamericanas,Maestría,Literatura,Escolarizada
688,7022300036,Mtría. en Estudios en Literacidad,Maestría,Literatura,Escolarizada
689,7022300037,Mtría. en Estudios Criticos del Lenguaje,Maestría,Literatura,Escolarizada
690,7031100028,Mtría. en Psicología,Maestría,Psicología,Escolarizada
691,7031100030,Mtría. en Psicología Clínica,Maestría,Psicología,Escolarizada
692,7031100041,Mtría. en Psicología Con Orientación en Psicología Social,Maestría,Psicología,Escolarizada
693,7031200016,Mtría. en Ciencias Antropológicas,Maestría,Sociología y antropología,Escolarizada
694,7031200038,Mtría. en Estudios Regionales,Maestría,Sociología y antropología,Escolarizada
695,7031200087,"Mtría. en Estudios Francófonos: Pedagogía, Lingüística y Estudios Interculturales",Maestría,Sociología y antropología,Escolarizada
696,7041100018,Mtría. en Comercio y Mercados Internacionales,Maestría,Negocios y comercio,Escolarizada
697,7041200042,Mtría. en Mercadotecnia,Maestría,Mercadotecnia y publicidad,Escolarizada
698,7041400028,Mtría. en Impuestos,Maestría,Contabilidad y fiscalización,Escolarizada
699,7042000002,Mtría. en Administración,Maestría,Planes multidisciplinarios o generales del campo de administración y gestión,Escolarizada
700,7042100129,Mtría. en Dirección Estratégica de la Calidad,Maestría,Administración de empresas,Escolarizada
701,7042200008,Mtría. en Desarrollo Sustentable y Turismo,Maestría,Administración turísticas y de restaurantes,Escolarizada
702,7042300031,Mtría. en Gestión Pública,Maestría,Administración pública,Escolarizada
703,7051100007,Mtría. en Ciencias Biológicas,Maestría,Biología,Escolarizada
704,7051200018,Mtría. en Farmacología,Maestría,Bioquímica y biofísica,Escolarizada
705,7051200022,Mtría. en Ciencias en Biología Molecular en Medicina,Maestría,Bioquímica y biofísica,Escolarizada
706,7052200016,Mtría. en Ciencia e Ingeniería de Materiales,Maestría,Química,Escolarizada
707,7052300003,Mtría. en Ciencias de la Tierra,Maestría,Ciencias de la tierra y de la atmósfera,Escolarizada
708,7052300035,Mtría. en Geología,Maestría,Ciencias de la tierra y de la atmósfera,Escolarizada
709,7061000002,Mtría. en Computación Aplicada,Maestría,Planes multidisciplinarios o generales del campo de innovación en tecnologías de la información y la comunicación,Escolarizada
710,7061300011,Mtría. en Sistemas de Información,Maestría,Desarrollo de software,Escolarizada
711,7062200028,Mtría en Ingeniería de Desarrollos Tecnológicos,Maestría,Informática,Escolarizada
712,7071600009,Mtría. en Protección Ambiental,Maestría,Tecnología para la protección del medio ambiente,Escolarizada
713,7071700001,Mtría. en Ingeniería de Proyectos,Maestría,Ingeniería industrial,Escolarizada
714,7071700002,Mtría. en Sistemas de Calidad,Maestría,Ingeniería industrial,Escolarizada
715,7071700009,Mtría. en Análisis de Sistemas Industriales,Maestría,Ingeniería industrial,Escolarizada
716,7072100008,Mtría. en Ciencias de los Alimentos,Maestría,Industria de la alimentación,Escolarizada
717,7072100012,Mtría. en Ciencias en Microbiología e Inocuidad de Alimentos,Maestría,Industria de la alimentación,Escolarizada
718,7081100023,Mtría. en Ciencias en Nutrición Animal,Maestría,Producción y explotación agrícola y ganadera,Escolarizada
719,7081100033,Mtría. en Ciencias Pecuarias,Maestría,Producción y explotación agrícola y ganadera,Escolarizada
720,7081100072,Mtría. en Ciencias Agrícolas y Forestales,Maestría,Producción y explotación agrícola y ganadera,Escolarizada
721,7091345005,Mtría. en Ciencias Médicas,Maestría,Medicina de especialidad,Escolarizada
722,7095200012,Mtría. en Ciencias Biomédicas,Maestría,Biomedicina,Escolarizada
723,7095300001,Mtría. en Química Clínica,Maestría,Diagnóstico médico y tecnología del tratamiento,Escolarizada
724,8022300004,Doc. en Letras,Doctorado,Literatura,Escolarizada
725,8022300013,Doc. en Estudios Literarios y Lingüísticos,Doctorado,Literatura,Escolarizada
726,8031400010,Doc. en Negocios y Estudios Económicos,Doctorado,Economía,Escolarizada
727,8042100049,Doc. en Innovación para el Hábitat Sustentable,Doctorado,Administración de empresas,Escolarizada
728,8042100051,Doc. en Innovación y Sustentabilidad en los Negocios,Doctorado,Administración de empresas,Escolarizada
729,8051100004,Doc. en Ciencias Biológicas,Doctorado,Biología,Escolarizada
730,8051300013,Doc. en Ciencias para el Desarrollo Sustentable,Doctorado,Ecología y ciencias ambientales,Escolarizada
731,8052000002,Doc. en Ciencias,Doctorado,"Planes multidisciplinarios o generales del campo de ciencias físicas, químicas y de la tierra.",Escolarizada
732,8052200023,Doc. en Ciencia de Biomateriales Sustentables,Doctorado,Química,Escolarizada
733,8052300021,Doc. en Geología,Doctorado,Ciencias de la tierra y de la atmósfera,Escolarizada
734,8062200001,Doc. en Ingeniería y Tecnología,Doctorado,Informática,Escolarizada
735,8072300004,Doc. en Ciencia e Ingeniería de Materiales,Doctorado,"Industrias de materiales diversos (cerámica, madera, plástico y vidrio)",Escolarizada
736,8081100028,Doc. en Ciencias Agrícolas y Forestales,Doctorado,Producción y explotación agrícola y ganadera,Escolarizada
737,8091345002,Doc. en Ciencias de la Salud Orientación en Investigación Clínica,Doctorado,Medicina de especialidad,Escolarizada
