row,name,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
25,2022-202314USU0002Z5011500002,2022-2023,14USU0002Z,5011500002,Escolarizada,67,190,0,257,5,5,0,10,26,27,0,53
26,2022-202314USU0002Z5031100007,2022-2023,14USU0002Z,5031100007,Escolarizada,74,254,0,328,1,10,0,11,1,3,0,4
27,2022-202314USU0002Z5031200004,2022-2023,14USU0002Z,5031200004,Escolarizada,4,12,0,16,0,0,0,0,0,2,0,2
28,2022-202314USU0002Z5033100003,2022-2023,14USU0002Z,5033100003,Escolarizada,251,342,0,593,4,10,0,14,7,4,0,11
29,2022-202314USU0002Z5041100021,2022-2023,14USU0002Z,5041100021,Escolarizada,53,34,0,87,0,0,0,0,8,4,0,12
30,2022-202314USU0003Y5062200082,2022-2023,14USU0003Y,5062200082,Escolarizada,129,35,0,164,2,2,0,4,0,0,0,0
31,2022-202314USU0003Y5071300014,2022-2023,14USU0003Y,5071300014,Escolarizada,302,35,0,337,6,2,0,8,0,0,0,0
32,2022-202314USU0003Y5071300091,2022-2023,14USU0003Y,5071300091,Escolarizada,70,17,0,87,5,0,0,5,0,0,0,0
33,2022-202314USU0003Y5072400001,2022-2023,14USU0003Y,5072400001,Escolarizada,20,16,0,36,0,0,0,0,0,0,0,0
34,2022-202314USU0003Y5092100006,2022-2023,14USU0003Y,5092100006,Escolarizada,63,196,0,259,1,4,0,5,0,0,0,0
35,2022-202314USU0003Y5094200006,2022-2023,14USU0003Y,5094200006,Escolarizada,51,213,0,264,4,3,0,7,0,1,0,1
36,2022-202314USU0003Y5101600013,2022-2023,14USU0003Y,5101600013,Escolarizada,47,140,0,187,1,3,0,4,0,0,0,0
37,2022-202314USU0004X5011200004,2022-2023,14USU0004X,5011200004,No escolarizada,137,555,0,692,2,20,0,22,2,3,0,5
38,2022-202314USU0004X5011500002,2022-2023,14USU0004X,5011500002,No escolarizada,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-202314USU0004X5021000007,2022-2023,14USU0004X,5021000007,No escolarizada,82,210,0,292,1,5,0,6,0,2,0,2
40,2022-202314USU0004X5032100001,2022-2023,14USU0004X,5032100001,No escolarizada,44,31,0,75,1,1,0,2,0,0,0,0
41,2022-202314USU0004X5032200012,2022-2023,14USU0004X,5032200012,No escolarizada,33,80,0,113,1,2,0,3,3,1,0,4
42,2022-202314USU0004X5041200075,2022-2023,14USU0004X,5041200075,No escolarizada,426,632,0,1058,17,10,0,27,1,2,0,3
43,2022-202314USU0004X5042100065,2022-2023,14USU0004X,5042100065,No escolarizada,577,888,0,1465,7,19,0,26,3,4,0,7
44,2022-202314USU0004X5061000015,2022-2023,14USU0004X,5061000015,No escolarizada,338,143,0,481,6,3,0,9,2,0,0,2
45,2022-202314USU0004X5062200105,2022-2023,14USU0004X,5062200105,No escolarizada,492,165,0,657,18,3,0,21,2,0,0,2
46,2022-202314USU0004X5104100015,2022-2023,14USU0004X,5104100015,No escolarizada,84,78,0,162,3,1,0,4,0,0,0,0
47,2022-202314USU0005W5021000114,2022-2023,14USU0005W,5021000114,Escolarizada,215,248,0,463,8,5,0,13,1,0,0,1
48,2022-202314USU0005W5021200054,2022-2023,14USU0005W,5021200054,Escolarizada,76,219,0,295,4,3,0,7,0,1,0,1
49,2022-202314USU0002Z5071300009,2022-2023,14USU0002Z,5071300009,Escolarizada,240,35,0,275,6,2,0,8,5,0,0,5
50,2022-202314USU0002Z5092100006,2022-2023,14USU0002Z,5092100006,Escolarizada,208,648,0,856,6,16,0,22,6,25,0,31
